City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Port Hedland,AU,2022-03-28 04:40:14,-20.3167,118.5667,93.25,46,96,4.61
68,Coahuayana,MX,2022-03-28 04:44:54,18.7333,-103.6833,67.71,72,1,3.91
69,Pevek,RU,2022-03-28 04:44:54,69.7008,170.3133,-8.03,93,21,6.15
70,Joshimath,IN,2022-03-28 04:44:55,30.5667,79.5667,70.93,23,2,5.82
71,Pacific Grove,US,2022-03-28 04:44:55,36.6177,-121.9166,56.41,86,78,3.0
72,Tuktoyaktuk,CA,2022-03-28 04:44:56,69.4541,-133.0374,-13.0,77,20,10.36
73,Chuy,UY,2022-03-28 04:44:57,-33.6971,-53.4616,59.99,64,0,5.66
74,Dingle,PH,2022-03-28 04:44:57,10.9995,122.6711,89.17,56,23,15.03
75,Mangrol,IN,2022-03-28 04:44:57,21.1167,70.1167,89.28,35,3,9.71
76,Tonantins,BR,2022-03-28 04:44:58,-2.8731,-67.8022,73.24,100,100,0.56
77,Qaanaaq,GL,2022-03-28 04:44:58,77.484,-69.3632,6.48,95,99,4.79
78,Churapcha,RU,2022-03-28 04:44:58,62.0025,132.4325,26.13,72,69,7.54
79,Huntsville,US,2022-03-28 04:40:00,34.7304,-86.5861,46.2,65,75,1.99
80,Los Llanos De Aridane,ES,2022-03-28 04:44:59,28.6585,-17.9182,60.55,94,75,14.97
81,Necochea,AR,2022-03-28 04:44:59,-38.5473,-58.7368,55.0,67,0,7.29
82,Castro,BR,2022-03-28 04:45:00,-24.7911,-50.0119,60.37,98,3,3.74
83,Torbay,CA,2022-03-28 04:45:00,47.6666,-52.7314,37.27,91,100,17.27
84,Waingapu,ID,2022-03-28 04:45:00,-9.6567,120.2641,85.28,68,91,5.1
85,Georgetown,MY,2022-03-28 04:45:01,5.4112,100.3354,87.73,78,20,8.05
86,Sao Miguel Do Araguaia,BR,2022-03-28 04:44:05,-13.275,-50.1628,73.44,85,88,3.09
87,Cap Malheureux,MU,2022-03-28 04:45:02,-19.9842,57.6142,83.46,72,2,7.0
