City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Georgetown,MY,5.4112,100.3354,87.73,66,20,4.61,few clouds
80,Port Moresby,PG,-9.4431,147.1797,82.58,77,85,6.15,overcast clouds
81,Jacobabad,PK,28.281,68.4388,103.23,6,0,7.05,clear sky
82,Homnabad,IN,17.7667,77.1333,98.06,11,58,12.08,broken clouds
83,Copiapo,CL,-27.3667,-70.3333,66.81,55,0,1.36,clear sky
84,Klaksvik,FO,62.2266,-6.589,38.32,68,100,13.76,overcast clouds
85,Havoysund,NO,70.9963,24.6622,25.03,83,81,2.55,broken clouds
86,Khorramabad,IR,33.4878,48.3558,48.6,35,0,1.57,clear sky
87,Amga,RU,60.8953,131.9608,29.82,69,95,5.59,overcast clouds
88,West Wendover,US,40.7391,-114.0733,60.01,17,0,4.61,clear sky
89,Bredasdorp,ZA,-34.5322,20.0403,65.82,63,100,1.88,overcast clouds
90,Bluff,NZ,-46.6,168.3333,60.22,84,8,5.37,clear sky
91,Luderitz,NA,-26.6481,15.1594,63.55,71,0,2.28,clear sky
92,Hambantota,LK,6.1241,81.1185,88.43,61,6,11.48,clear sky
93,Torbay,CA,47.6666,-52.7314,37.27,93,100,21.85,light rain
94,Mantua,IT,45.1667,10.7833,45.64,61,1,3.11,clear sky
95,Aklavik,CA,68.2191,-135.0107,-14.31,100,100,3.11,overcast clouds
96,Miri,MY,4.4148,114.0089,84.24,64,43,8.48,scattered clouds
97,Inhambane,MZ,-23.865,35.3833,77.97,70,54,13.44,broken clouds
98,Kendari,ID,-3.945,122.4989,89.24,54,96,4.09,heavy intensity rain
99,Agadir,MA,30.4202,-9.5982,59.45,60,100,5.93,overcast clouds
100,Provideniya,RU,64.3833,-173.3,10.78,89,27,4.16,scattered clouds
101,Hithadhoo,MV,-0.6,73.0833,81.77,64,2,5.19,clear sky
102,Bengkulu,ID,-3.8004,102.2655,85.3,66,34,10.8,scattered clouds
103,Chadan,RU,51.2833,91.5833,27.79,88,100,2.33,overcast clouds
104,Vao,NC,-22.6667,167.4833,77.13,67,15,15.32,few clouds
105,Roald,NO,62.5833,6.1333,42.75,93,75,21.85,drizzle
106,Zhangjiakou,CN,40.81,114.8794,54.07,20,1,9.78,clear sky
107,Carnarvon,AU,-24.8667,113.6333,85.53,51,0,18.25,clear sky
108,Ribeira Grande,PT,38.5167,-28.7,59.7,84,99,11.63,overcast clouds
109,Dingle,PH,10.9995,122.6711,89.01,56,30,15.48,scattered clouds
110,Niono,ML,14.2526,-5.993,82.87,15,20,7.18,few clouds
111,Riberalta,BO,-10.9833,-66.1,71.46,98,100,2.39,overcast clouds
112,Kutum,SD,14.2,24.6667,61.38,11,2,17.72,clear sky
113,Qaanaaq,GL,77.484,-69.3632,6.55,94,99,4.29,overcast clouds
114,Oktyabrskiy,RU,54.4815,53.471,25.5,87,99,10.2,overcast clouds
115,Gwanda,ZW,-20.9333,29.0,65.39,89,50,9.13,scattered clouds
116,Zyryanka,RU,65.75,150.85,14.97,81,59,2.39,broken clouds
117,Eureka,US,40.8021,-124.1637,53.74,84,100,1.01,overcast clouds
118,Saldanha,ZA,-33.0117,17.9442,62.15,79,41,8.48,scattered clouds
119,Akdepe,TM,42.0551,59.3788,57.72,39,49,17.81,scattered clouds
120,Cabedelo,BR,-6.9811,-34.8339,75.87,86,94,9.17,overcast clouds
121,Stromness,GB,58.965,-3.296,46.87,80,30,5.01,scattered clouds
122,Lompoc,US,34.6391,-120.4579,56.12,72,100,23.02,overcast clouds
123,Shakiso,ET,5.75,38.9167,71.73,26,66,8.28,broken clouds
124,Thompson,CA,55.7435,-97.8558,2.08,95,84,3.2,broken clouds
125,Kloulklubed,PW,7.0419,134.2556,84.7,74,88,15.75,overcast clouds
126,Wagga Wagga,AU,-35.1167,147.3667,81.01,34,40,14.97,scattered clouds
127,Constitucion,CL,-35.3333,-72.4167,53.33,78,44,10.92,scattered clouds
128,Campbell River,CA,50.0163,-125.2446,45.45,96,100,3.53,overcast clouds
129,Norman Wells,CA,65.282,-126.8329,4.87,98,100,2.55,overcast clouds
130,Kapoeta,SS,4.7717,33.5903,84.78,45,84,12.41,broken clouds
131,Goderich,CA,43.7501,-81.7165,21.9,83,100,22.62,light snow
132,Pimentel,PE,-6.8367,-79.9342,70.47,79,100,9.46,overcast clouds
133,Nemuro,JP,43.3236,145.575,34.7,75,72,14.54,broken clouds
134,Souillac,MU,-20.5167,57.5167,82.38,62,3,7.23,clear sky
135,Khatanga,RU,71.9667,102.5,2.48,92,100,13.11,light snow
136,Hasaki,JP,35.7333,140.8333,59.29,48,99,16.55,overcast clouds
137,Cabo San Lucas,MX,22.8909,-109.9124,74.52,44,13,11.95,few clouds
138,Kapaa,US,22.0752,-159.319,75.18,83,40,10.36,light rain
139,Sao Filipe,CV,14.8961,-24.4956,69.96,77,100,9.19,overcast clouds
140,Marawi,PH,7.9986,124.2928,76.41,84,64,1.34,light rain
141,Casper,US,42.8666,-106.3131,55.62,35,96,5.7,overcast clouds
142,Waipawa,NZ,-41.4122,175.5153,54.9,84,93,4.88,overcast clouds
143,Ejido,VE,8.5514,-71.2375,65.08,78,84,6.49,broken clouds
144,Chokurdakh,RU,70.6333,147.9167,0.19,92,19,5.7,few clouds
145,Sananduva,BR,-27.9497,-51.8067,53.46,93,0,3.13,clear sky
146,Itarema,BR,-2.9248,-39.9167,76.12,91,99,7.09,overcast clouds
147,Harper,LR,4.375,-7.7169,79.34,88,40,4.32,light rain
